,term,term_id
889,discipline-specific,100889
890,tailor-made,100890
891,specialize,100891
892,mathematical,100892
893,computational,100893
894,various,100894
895,crossroad,100895
896,groningen,100896
897,guidance,100897
898,staff,100898
899,member,100899
900,coach,100900
901,two-year,100901
902,adaptation,100902
903,behavioural,100903
904,bio-interactions,100904
905,evolution,100905
906,disease,100906
907,gene,100907
908,regulation,100908
909,complexity,100909
910,single,100910
911,molecule,100911
912,whole,100912
913,biomaterials,100913
914,bioengineering,100914
915,tissue,100915
916,related,100916
917,eminent,100917
918,visiting,100918
919,lecturer,100919
920,charity,100920
921,attracts,100921
922,physical,100922
923,mres,100923
924,multi-,100924
925,disciplinary,100925
926,superior,100926
927,firm,100927
928,biomedicine,100928
929,methodology,100929
930,utilised,100930
931,moreover,100931
932,broaden,100932
933,demonstrate,100933
934,originality,100934
935,tackling,100935
936,solving,100936
937,function,100937
938,learner,100938
939,initiative,100939
940,unpredictable,100940
941,represent,100941
942,driving,100942
943,human,100943
944,genome,100944
945,expressed,100945
946,alongside,100946
947,platform,100947
948,opening,100948
949,novel,100949
950,treat,100950
951,investigate,100951
952,epidemiology,100952
953,pathogen,100953
954,diagnosed,100954
955,monitored,100955
956,developed,100956
957,emerging,100957
958,virus,100958
959,multi-drug-resistant,100959
960,bacteria,100960
961,considered,100961
962,cardiovascular,100962
963,autoimmune,100963
964,disorder,100964
965,trained,100965
966,nuclear,100966
967,magnetic,100967
968,resonance,100968
969,nmr,100969
970,mass,100970
971,spectroscopy,100971
972,m,100972
973,x-ray,100973
974,crystallography,100974
975,immunohistochemistry,100975
976,produce,100976
977,instrumentation,100977
978,characterisation,100978
979,specialised,100979
980,project,100980
981,briefed,100981
982,device,100982
983,interact,100983
984,body,100984
985,order,100985
986,all-rounder,100986
987,finish,100987
988,generalist,100988
989,thorough,100989
990,basic,100990
991,along,100991
992,signal,100992
993,physic,100993
994,independently,100994
995,solve,100995
996,all-important,100996
997,permanent,100997
998,ever-changing,100998
999,often,100999
1000,referred,101000
1001,creativity,101001
1002,benefit,101002
1003,humanity,101003
1004,make,101004
1005,difference,101005
1006,applies,101006
1007,principle,101007
1008,advancement,101008
1009,delivery,101009
1010,nutrition,101010
1011,true,101011
1012,engineered,101012
1013,biocompatibility,101013
1014,respected,101014
1015,engineer,101015
1016,active,101016
1017,bio-inspired,101017
1018,prosthetic,101018
1019,limb,101019
1020,biomechanics,101020
1021,measurement,101021
1022,four,101022
1023,theme,101023
1024,diagnostics,101024
1025,rehabilitation,101025
1026,assistive,101026
1027,currently,101027
1028,home,101028
1029,pursuing,101029
1030,phd,101030
1031,diverse,101031
1032,infectious,101032
1033,brain-computer,101033
1034,interface,101034
1035,differentiation,101035
1036,nanotechnology,101036
1037,robot,101037
1038,orthotic,101038
1039,aid,101039
1040,creation,101040
1041,artificial,101041
1042,following,101042
1043,began,101043
1044,transferable,101044
1045,succeed,101045
1046,fastest,101046
1047,distinct,101047
1048,stream,101048
1049,accredited,101049
1050,employment-focused,101050
1051,suitable,101051
1052,science-based,101052
1053,push,101053
1054,diagnostic,101054
1055,therapeutic,101055
1056,condition,101056
1057,likely,101057
1058,biomechanical,101058
1059,bioelectrical,101059
1060,regulatory,101060
1061,according,101061
1062,common,101062
1063,lead,101063
1064,award,101064
1065,discover,101065
1066,led,101066
1067,becoming,101067
1068,intercalating,101068
1069,fluid,101069
1070,mechanic,101070
1071,introduction,101071
1072,worldwide,101072
1073,next,101073
1074,generation,101074
1075,intersection,101075
1076,making,101076
1077,cardiac,101077
1078,designing,101078
1079,silico,101079
1080,regenerating,101080
1081,replacement,101081
1082,vitro,101082
1083,attribute,101083
1084,living,101084
1085,synthesize,101085
1086,improve,101086
1087,strongly,101087
1088,large,101088
1089,array,101089
1090,affair,101090
1091,therapy,101091
1092,electrophysiology,101092
1093,biosensors,101093
1094,microfluidics,101094
1095,optogenetics,101095
1096,ultrasound,101096
1097,strathclyde,101097
1098,multi-award-winning,101098
1099,institution,101099
1100,higher,101100
1101,twice,101101
1102,modular,101102
1103,explores,101103
1104,generate,101104
1105,clinically,101105
1106,helping,101106
1107,practitioner,101107
1108,maintain,101108
1109,'re,101109
1110,mathematics,101110
1111,continued,101111
1112,better,101112
1113,improved,101113
1114,treatment,101114
1115,teach,101115
1116,scale,101116
1117,entire,101117
1118,smaller,101118
1119,nanoparticles,101119
1120,two,101120
1121,broad-range,101121
1122,current-day,101122
1123,relies,101123
1124,think,101124
1125,inside,101125
1126,mri,101126
1127,ct,101127
1128,heart,101128
1129,placing,101129
1130,valve,101130
1131,measuring,101131
1132,stress,101132
1133,avoid,101133
1134,burn-out,101134
1135,realise,101135
1136,microelectronics,101136
1137,mechanical,101137
1138,keele,101138
1139,arena,101139
1140,professionally,101140
1141,allied,101141
1142,specialisation,101142
1143,impactful,101143
1144,majorly,101144
1145,sought-after,101145
1146,bio-data,101146
1147,competitive,101147
1148,always,101148
1149,high,101149
1150,trend,101150
1151,cloud,101151
1152,computing,101152
1153,solid,101153
1154,coverage,101154
1155,toolkit,101155
1156,enabling,101156
1157,impacted,101157
1158,feature,101158
1159,talented,101159
1160,innovating,101160
1161,embedded,101161
1162,spanning,101162
1163,academia,101163
1164,hospital,101164
1165,medtech,101165
1166,innovator,101166
1167,prevailing,101167
1168,integrative,101168
1169,deliver,101169
1170,patient-centred,101170
1171,ageing,101171
1172,connected,101172
1173,preventive,101173
1174,personalised,101174
1175,industry-standard,101175
1176,gaining,101176
1177,mechanism,101177
1178,pathology,101178
1179,diagnosis,101179
1180,patient,101180
1181,quest,101181
1182,cure,101182
1183,waiting,101183
1184,discovered,101184
1185,semester,101185
1186,follow,101186
1187,number,101187
1188,compulsory,101188
1189,e.g,101189
1190,english,101190
1191,biostatistics,101191
1192,bio-ethics,101192
1193,arm,101193
1194,perform,101194
1195,internationally-orientated,101195
1196,second,101196
1197,start,101197
1198,writing,101198
1199,review,101199
1200,internship,101200
1201,complete,101201
1202,short,101202
1203,ect,101203
1204,total,101204
1205,followed,101205
1206,grand,101206
1207,finale,101207
1208,thesis,101208
1209,based,101209
1210,result,101210
